time,open,high,low,close
2022-10-07T03:15:00+02:00,1711.682,1711.99,1708.8,1710.728
2022-10-07T03:30:00+02:00,1710.78,1711.39,1709,1711.13
2022-10-07T03:45:00+02:00,1710.8,1711.42,1708.6,1710.668
2022-10-07T04:00:00+02:00,1710.62,1710.7,1708.2,1709.73
2022-10-07T04:15:00+02:00,1709.68,1710.99,1708.6,1709.788
2022-10-07T04:30:00+02:00,1709.69,1711.44,1708.3,1711.4
2022-10-07T04:45:00+02:00,1711.34,1713.4,1709.9,1711.3
2022-10-07T05:00:00+02:00,1711.62,1712.68,1710.5,1712.104
2022-10-07T05:15:00+02:00,1712.07,1712.6,1709.6,1710.59
2022-10-07T05:30:00+02:00,1710.47,1711.16,1709.1,1710.53
2022-10-07T05:45:00+02:00,1710.38,1710.55,1708.6,1709.84
2022-10-07T06:00:00+02:00,1709.83,1710.56,1708.2,1710.44
2022-10-07T06:15:00+02:00,1710.388,1711.64,1709.4,1710.81
2022-10-07T06:30:00+02:00,1710.89,1711.32,1708.9,1710.708
2022-10-07T06:45:00+02:00,1710.57,1710.8,1708.6,1709.52
2022-10-07T07:00:00+02:00,1709.46,1711.74,1708.7,1711.39
2022-10-07T07:15:00+02:00,1711,1711.85,1709.8,1711.61
2022-10-07T07:30:00+02:00,1711.41,1713.06,1710.4,1712.6
2022-10-07T07:45:00+02:00,1712.83,1713.83,1711.4,1712.6
2022-10-07T08:00:00+02:00,1712.77,1714.11,1711,1711.47
2022-10-07T08:15:00+02:00,1711.45,1712.85,1708.6,1709.692
2022-10-07T08:30:00+02:00,1709.78,1711.58,1707.6,1709.33
2022-10-07T08:45:00+02:00,1709.45,1710.4,1707.3,1709.04
2022-10-07T09:00:00+02:00,1709.038,1711.86,1707.9,1711.152
2022-10-07T09:15:00+02:00,1711.28,1712.14,1708.7,1711.12
2022-10-07T09:30:00+02:00,1711.03,1712.8,1709.2,1711.58
2022-10-07T09:45:00+02:00,1711.47,1712.29,1709.4,1710.91
2022-10-07T10:00:00+02:00,1710.84,1712.19,1708.6,1711.978
2022-10-07T10:15:00+02:00,1711.98,1713.81,1710.8,1712.57
2022-10-07T10:30:00+02:00,1712.61,1713.6,1710.9,1712.13
2022-10-07T10:45:00+02:00,1711.8,1713,1710.4,1712.28
2022-10-07T11:00:00+02:00,1712.22,1714.71,1711.4,1714.23
2022-10-07T11:15:00+02:00,1714.32,1714.82,1710.7,1711.54
2022-10-07T11:30:00+02:00,1711.2,1712.94,1710.1,1712.44
2022-10-07T11:45:00+02:00,1712.41,1712.85,1710.3,1712.723
2022-10-07T12:00:00+02:00,1712.75,1713.07,1707.9,1708.8
2022-10-07T12:15:00+02:00,1709.05,1709.52,1705.4,1706.3
2022-10-07T12:30:00+02:00,1706.55,1709.52,1705.3,1709.33
2022-10-07T12:45:00+02:00,1709.23,1710.36,1707.8,1708.9
2022-10-07T13:00:00+02:00,1708.83,1709.32,1707.2,1708.76
2022-10-07T13:15:00+02:00,1708.75,1709.74,1706.3,1707.36
2022-10-07T13:30:00+02:00,1707.26,1710.94,1706.7,1707.77
2022-10-07T13:45:00+02:00,1707.78,1709.99,1706.6,1709.192
2022-10-07T14:00:00+02:00,1709.152,1710.65,1707.6,1709.78
2022-10-07T14:15:00+02:00,1709.71,1710.82,1707.6,1710.07
2022-10-07T14:30:00+02:00,1710.1,1713.329,1700.8,1701.2
2022-10-07T14:45:00+02:00,1701.06,1702.89,1690,1697.98
2022-10-07T15:00:00+02:00,1697.86,1705.04,1695.5,1703.72
2022-10-07T15:15:00+02:00,1703.683,1704.94,1699.4,1701.31
2022-10-07T15:30:00+02:00,1701.33,1703.49,1698.2,1698.97
2022-10-07T15:45:00+02:00,1698.7,1702.54,1696.5,1698.03
2022-10-07T16:00:00+02:00,1697.86,1698.3,1692.9,1695.88
2022-10-07T16:15:00+02:00,1695.75,1701.32,1694.3,1698.13
2022-10-07T16:30:00+02:00,1698.11,1700.08,1695.7,1699.85
2022-10-07T16:45:00+02:00,1699.87,1704.08,1698.8,1701.84
2022-10-07T17:00:00+02:00,1701.824,1703.81,1700.2,1702.3
2022-10-07T17:15:00+02:00,1702.14,1702.43,1698.5,1701.19
2022-10-07T17:30:00+02:00,1701.12,1704.23,1699.1,1703.934
2022-10-07T17:45:00+02:00,1703.91,1704.11,1701,1703.103
2022-10-07T18:00:00+02:00,1703.15,1706.91,1701.6,1705.31
2022-10-07T18:15:00+02:00,1705.32,1707.22,1701.6,1703.128
2022-10-07T18:30:00+02:00,1703.128,1703.22,1699.6,1700.79
2022-10-07T18:45:00+02:00,1700.833,1701.2,1698.4,1699.77
2022-10-07T19:00:00+02:00,1699.733,1701.33,1697.9,1701.198
2022-10-07T19:15:00+02:00,1701.24,1702.23,1699.5,1701.514
2022-10-07T19:30:00+02:00,1701.5,1702.46,1699.3,1701.88
2022-10-07T19:45:00+02:00,1701.848,1702.17,1699.1,1699.86
2022-10-07T20:00:00+02:00,1699.86,1700.51,1697.6,1699.64
2022-10-07T20:15:00+02:00,1699.558,1699.86,1697.3,1698.303
2022-10-07T20:30:00+02:00,1698.3,1699.04,1696.8,1697.62
2022-10-07T20:45:00+02:00,1697.549,1697.96,1695.9,1696.576
2022-10-07T21:00:00+02:00,1696.57,1697.06,1693.7,1694.2
2022-10-07T21:15:00+02:00,1694.468,1694.88,1692.4,1693.464
2022-10-07T21:30:00+02:00,1693.528,1696.68,1692.3,1696.05
2022-10-07T21:45:00+02:00,1695.9,1696.52,1693.7,1695.44
2022-10-07T22:00:00+02:00,1695.509,1695.91,1694,1695.36
2022-10-07T22:15:00+02:00,1695.37,1695.83,1693.8,1695
2022-10-07T22:30:00+02:00,1694.86,1695.33,1693.6,1695.153
2022-10-07T22:45:00+02:00,1695.153,1695.48,1693.4,1694.458
2022-10-07T23:00:00+02:00,1694.69,1694.69,1693.7,1693.7
2022-10-07T23:15:00+02:00,1693.8,1693.8,1693.7,1693.7
2022-10-07T23:30:00+02:00,1694,1694,1693.6,1693.7
2022-10-07T23:45:00+02:00,1693.6,1693.8,1693.6,1693.7
2022-10-10T00:00:00+02:00,1696.51,1699.54,1693.6,1698.96
2022-10-10T00:15:00+02:00,1699.1,1699.22,1696.5,1698.38
2022-10-10T00:30:00+02:00,1698.24,1699.94,1697,1698.27
2022-10-10T00:45:00+02:00,1698.13,1699.01,1696.4,1697.354
2022-10-10T01:00:00+02:00,1697.41,1698.28,1696.3,1697.724
2022-10-10T01:15:00+02:00,1697.73,1698.15,1696.5,1697.42
2022-10-10T01:30:00+02:00,1697.29,1697.45,1695.3,1696.55
2022-10-10T01:45:00+02:00,1696.56,1697.09,1694.9,1696.73
2022-10-10T02:00:00+02:00,1696.64,1697.28,1694.9,1696.3
2022-10-10T02:15:00+02:00,1696.218,1697.13,1693.9,1695.238
2022-10-10T02:30:00+02:00,1695.268,1696.42,1693.1,1695.3
2022-10-10T02:45:00+02:00,1695.228,1696.16,1691.8,1694.478
2022-10-10T03:00:00+02:00,1694.5,1695.069,1691.7,1693.41
2022-10-10T03:15:00+02:00,1693.35,1694.71,1691.1,1693.103
2022-10-10T03:30:00+02:00,1693.05,1696.31,1692,1694.444
2022-10-10T03:45:00+02:00,1694.64,1696.25,1692.7,1693.934
2022-10-10T04:00:00+02:00,1693.7,1694.33,1691.4,1692.78
2022-10-10T04:15:00+02:00,1692.705,1693.6,1690.7,1692.98
2022-10-10T04:30:00+02:00,1692.78,1693.11,1690.8,1692.169
2022-10-10T04:45:00+02:00,1692.08,1692.35,1690.1,1691.49
2022-10-10T05:00:00+02:00,1691.66,1691.77,1688.9,1690.94
2022-10-10T05:15:00+02:00,1690.89,1691,1686.4,1687.888
2022-10-10T05:30:00+02:00,1687.903,1689.18,1686.9,1688.214
2022-10-10T05:45:00+02:00,1688.206,1689.03,1687,1688.87
2022-10-10T06:00:00+02:00,1688.76,1689.58,1687.6,1688.484
2022-10-10T06:15:00+02:00,1688.3,1689.1,1684.2,1685.3
2022-10-10T06:30:00+02:00,1685.69,1687.33,1684.6,1686.99
2022-10-10T06:45:00+02:00,1686.964,1687.55,1685.5,1686.629
2022-10-10T07:00:00+02:00,1686.6,1687.4,1685,1687.14
2022-10-10T07:15:00+02:00,1687.004,1689.4,1686,1688.86
2022-10-10T07:30:00+02:00,1688.88,1689.05,1685.5,1686.84
2022-10-10T07:45:00+02:00,1686.82,1687.78,1684.9,1685.5
2022-10-10T08:00:00+02:00,1685.788,1689.31,1685.3,1688.474
2022-10-10T08:15:00+02:00,1688.38,1688.95,1684.6,1685.539
2022-10-10T08:30:00+02:00,1685.48,1686.81,1683.7,1686.39
2022-10-10T08:45:00+02:00,1686.34,1686.84,1683.8,1685.25
2022-10-10T09:00:00+02:00,1685.17,1688.62,1684.8,1687.543
2022-10-10T09:15:00+02:00,1687.498,1688.71,1685.1,1685.88
2022-10-10T09:30:00+02:00,1685.75,1687.98,1683.8,1684.02
2022-10-10T09:45:00+02:00,1684.15,1685.41,1681.5,1682.693
2022-10-10T10:00:00+02:00,1682.64,1683.78,1680.2,1681.334
2022-10-10T10:15:00+02:00,1681.3,1682.84,1679.4,1681.57
2022-10-10T10:30:00+02:00,1681.56,1681.86,1679.1,1681.134
2022-10-10T10:45:00+02:00,1681.13,1681.58,1679.1,1680.17
2022-10-10T11:00:00+02:00,1680.128,1684.15,1679.2,1683.56
2022-10-10T11:15:00+02:00,1683.4,1684.55,1678.8,1679.98
2022-10-10T11:30:00+02:00,1679.92,1680.72,1677.1,1680.6
2022-10-10T11:45:00+02:00,1680.493,1680.75,1678,1680.46
2022-10-10T12:00:00+02:00,1680.37,1681.3,1678.8,1679.3
2022-10-10T12:15:00+02:00,1679.64,1680.02,1677.1,1679.11
2022-10-10T12:30:00+02:00,1679.003,1680.03,1677.4,1679.198
2022-10-10T12:45:00+02:00,1679.3,1679.76,1676.6,1679.148
2022-10-10T13:00:00+02:00,1679.25,1681.66,1677.3,1679.26
2022-10-10T13:15:00+02:00,1679.14,1681.14,1677.5,1681.053
2022-10-10T13:30:00+02:00,1681.053,1681.1,1673.5,1676.01
2022-10-10T13:45:00+02:00,1675.953,1678.14,1673.8,1676.86
2022-10-10T14:00:00+02:00,1676.91,1678.39,1675.3,1676.278
2022-10-10T14:15:00+02:00,1676.35,1678.07,1674.5,1676.7
2022-10-10T14:30:00+02:00,1677.03,1679.2,1675.3,1676.76
2022-10-10T14:45:00+02:00,1676.81,1677.7,1674.4,1677.07
2022-10-10T15:00:00+02:00,1677.07,1678.66,1674.5,1675.3
2022-10-10T15:15:00+02:00,1675.57,1676.95,1672.9,1674.24
2022-10-10T15:30:00+02:00,1674.24,1675.07,1671.2,1674.2
2022-10-10T15:45:00+02:00,1674.13,1677.38,1672.9,1676.92
2022-10-10T16:00:00+02:00,1676.903,1678.08,1673.9,1677.05
2022-10-10T16:15:00+02:00,1677.109,1678.62,1671.8,1673.63
2022-10-10T16:30:00+02:00,1673.58,1677.3,1668.7,1671.22
2022-10-10T16:45:00+02:00,1671.12,1671.64,1664.9,1667.67
2022-10-10T17:00:00+02:00,1667.57,1668.52,1664.8,1667.97
2022-10-10T17:15:00+02:00,1668,1669.07,1664.9,1668.65
2022-10-10T17:30:00+02:00,1668.67,1668.95,1665.3,1667.08
2022-10-10T17:45:00+02:00,1666.97,1669.4,1665.6,1666.9
2022-10-10T18:00:00+02:00,1666.758,1668.22,1666.1,1667.44
2022-10-10T18:15:00+02:00,1667.52,1668.4,1665.8,1667.19
2022-10-10T18:30:00+02:00,1667.14,1668.54,1666.3,1668.07
2022-10-10T18:45:00+02:00,1667.95,1668.49,1666.4,1667.83
2022-10-10T19:00:00+02:00,1667.75,1670.06,1666.2,1669.74
2022-10-10T19:15:00+02:00,1669.568,1669.75,1666.6,1667.99
2022-10-10T19:30:00+02:00,1667.94,1670.51,1667.1,1670.17
2022-10-10T19:45:00+02:00,1670.26,1671.64,1668.6,1669.64
2022-10-10T20:00:00+02:00,1669.5,1670.39,1668.4,1669.39
2022-10-10T20:15:00+02:00,1669.33,1669.73,1668,1669.43
2022-10-10T20:30:00+02:00,1669.43,1670.34,1668.1,1669.25
2022-10-10T20:45:00+02:00,1669.14,1669.77,1667,1669.77
2022-10-10T21:00:00+02:00,1669.8,1670.9,1667.2,1668.49
2022-10-10T21:15:00+02:00,1668.1,1669.26,1667,1667.86
2022-10-10T21:30:00+02:00,1667.873,1668.9,1666.7,1667.93
2022-10-10T21:45:00+02:00,1667.857,1669.25,1666.8,1668.883
2022-10-10T22:00:00+02:00,1668.94,1669.315,1666.8,1668.03
2022-10-10T22:15:00+02:00,1668.11,1668.23,1666.6,1667.83
2022-10-10T22:30:00+02:00,1667.72,1668.33,1666.5,1668.02
2022-10-10T22:45:00+02:00,1667.88,1668.78,1666.6,1668.3
2022-10-10T23:00:00+02:00,1668.53,1668.53,1667.3,1667.4
2022-10-10T23:15:00+02:00,1667.5,1667.6,1667.5,1667.5
2022-10-11T00:00:00+02:00,1668,1668.81,1667,1668.46
2022-10-11T00:15:00+02:00,1668.1,1668.81,1667,1668.1
2022-10-11T00:30:00+02:00,1668.27,1668.41,1666.9,1668
2022-10-11T00:45:00+02:00,1668,1669.02,1667.1,1668.82
2022-10-11T01:00:00+02:00,1668.82,1669.56,1667.9,1669.26
2022-10-11T01:15:00+02:00,1669.26,1669.89,1668.3,1669.34
2022-10-11T01:30:00+02:00,1669.27,1669.84,1668.2,1669.74
2022-10-11T01:45:00+02:00,1669.588,1670.27,1668.5,1670.1
2022-10-11T02:00:00+02:00,1670.07,1670.15,1667.2,1668.932
2022-10-11T02:15:00+02:00,1668.92,1670.8,1667.8,1670.55
2022-10-11T02:30:00+02:00,1670.53,1671.25,1669.1,1670.79
2022-10-11T02:45:00+02:00,1670.75,1672.98,1669.9,1672.3
2022-10-11T03:00:00+02:00,1672.23,1673.3,1670.4,1672.25
2022-10-11T03:15:00+02:00,1672.12,1673.64,1670.3,1672.93
2022-10-11T03:30:00+02:00,1672.825,1673.54,1666.7,1668.29
2022-10-11T03:45:00+02:00,1668.182,1669.22,1666.4,1668.24
2022-10-11T04:00:00+02:00,1668.11,1668.96,1662,1662.37
2022-10-11T04:15:00+02:00,1662.418,1665.51,1660.3,1664.82
2022-10-11T04:30:00+02:00,1664.82,1666.89,1663.5,1665.44
2022-10-11T04:45:00+02:00,1665.3,1667.34,1664.3,1665.38
2022-10-11T05:00:00+02:00,1665.29,1665.97,1663.8,1665.165
2022-10-11T05:15:00+02:00,1665.32,1667.21,1664.2,1665.868
2022-10-11T05:30:00+02:00,1665.87,1666.69,1664.1,1665.01
2022-10-11T05:45:00+02:00,1664.92,1665.39,1663.1,1664.07
2022-10-11T06:00:00+02:00,1664.12,1665.26,1662.8,1664.41
2022-10-11T06:15:00+02:00,1664.33,1664.57,1661.7,1662.822
2022-10-11T06:30:00+02:00,1662.83,1664.25,1661.5,1662.91
2022-10-11T06:45:00+02:00,1662.98,1663.45,1661,1663.28
2022-10-11T07:00:00+02:00,1663.13,1664.39,1661.8,1664.34
2022-10-11T07:15:00+02:00,1664.27,1665.11,1662.5,1663.74
2022-10-11T07:30:00+02:00,1663.74,1665.34,1662.3,1664.79
2022-10-11T07:45:00+02:00,1664.78,1666.93,1662.8,1666.51
2022-10-11T08:00:00+02:00,1666.41,1668.1,1664.9,1667.01
2022-10-11T08:15:00+02:00,1667.01,1668.68,1665.9,1668.57
2022-10-11T08:30:00+02:00,1668.57,1669.68,1666.6,1667.99
2022-10-11T08:45:00+02:00,1667.74,1668.34,1664.1,1666.337
2022-10-11T09:00:00+02:00,1666.3,1668.18,1663.3,1665.59
2022-10-11T09:15:00+02:00,1665.45,1667.71,1663.9,1665.38
2022-10-11T09:30:00+02:00,1665.3,1667.3,1663.5,1664.75
2022-10-11T09:45:00+02:00,1664.73,1666.12,1662.9,1664.66
2022-10-11T10:00:00+02:00,1664.59,1669.89,1663.3,1669.04
2022-10-11T10:15:00+02:00,1668.97,1669.13,1665.6,1666.875
2022-10-11T10:30:00+02:00,1666.9,1667.28,1663.7,1665.82
2022-10-11T10:45:00+02:00,1665.8,1666.97,1663.4,1665.68
2022-10-11T11:00:00+02:00,1665.69,1667.12,1664.1,1665.1
2022-10-11T11:15:00+02:00,1665.32,1665.66,1662.5,1664.24
2022-10-11T11:30:00+02:00,1664.203,1665.13,1661.8,1662.71
2022-10-11T11:45:00+02:00,1662.71,1664.1,1661.3,1662.66
2022-10-11T12:00:00+02:00,1662.57,1664.17,1660.4,1661.24
2022-10-11T12:15:00+02:00,1661.112,1664.94,1660.1,1663.06
2022-10-11T12:30:00+02:00,1663.09,1664.22,1661.8,1662.82
2022-10-11T12:45:00+02:00,1662.92,1667.03,1661.8,1666.942
2022-10-11T13:00:00+02:00,1666.923,1668.62,1665.7,1668.62
2022-10-11T13:15:00+02:00,1668.542,1670.31,1666.5,1668.71
2022-10-11T13:30:00+02:00,1668.72,1670.2,1666.2,1669.558
2022-10-11T13:45:00+02:00,1669.58,1670.67,1667.9,1669.8
2022-10-11T14:00:00+02:00,1670.163,1672.97,1669.1,1671.605
2022-10-11T14:15:00+02:00,1671.633,1672.9,1669.1,1671.26
2022-10-11T14:30:00+02:00,1671.28,1671.99,1668.5,1669.66
2022-10-11T14:45:00+02:00,1669.47,1670.97,1667.7,1669.56
2022-10-11T15:00:00+02:00,1669.57,1670.61,1667.6,1669.91
2022-10-11T15:15:00+02:00,1669.69,1670.33,1668,1669.6
2022-10-11T15:30:00+02:00,1669.448,1672.64,1665.8,1671.51
2022-10-11T15:45:00+02:00,1671.43,1672.06,1666.1,1666.99
2022-10-11T16:00:00+02:00,1666.95,1667.19,1662.6,1666.76
2022-10-11T16:15:00+02:00,1666.783,1668.62,1665.4,1666.808
2022-10-11T16:30:00+02:00,1666.76,1670.72,1665.2,1669.1
2022-10-11T16:45:00+02:00,1669.32,1671.27,1668.1,1669.345
2022-10-11T17:00:00+02:00,1669.36,1672.47,1668.2,1671.38
2022-10-11T17:15:00+02:00,1671.23,1672.93,1670,1672.05
2022-10-11T17:30:00+02:00,1671.96,1680.81,1671.2,1678.825
2022-10-11T17:45:00+02:00,1678.91,1681.84,1676,1681.448
2022-10-11T18:00:00+02:00,1681.45,1681.81,1678,1680.489
