time,open,high,low,close
2022-10-04T08:45:00+02:00,6.453,6.462,6.45,6.456
2022-10-04T09:00:00+02:00,6.457,6.467,6.452,6.452
2022-10-04T09:15:00+02:00,6.451,6.451,6.41,6.427
2022-10-04T09:30:00+02:00,6.428,6.457,6.426,6.455
2022-10-04T09:45:00+02:00,6.456,6.478,6.456,6.475
2022-10-04T10:00:00+02:00,6.474,6.476,6.449,6.454
2022-10-04T10:15:00+02:00,6.456,6.462,6.442,6.462
2022-10-04T10:30:00+02:00,6.461,6.467,6.43,6.442
2022-10-04T10:45:00+02:00,6.443,6.467,6.441,6.46
2022-10-04T11:00:00+02:00,6.46,6.478,6.455,6.458
2022-10-04T11:15:00+02:00,6.459,6.478,6.457,6.47
2022-10-04T11:30:00+02:00,6.469,6.479,6.468,6.474
2022-10-04T11:45:00+02:00,6.473,6.479,6.459,6.46
2022-10-04T12:00:00+02:00,6.459,6.471,6.451,6.455
2022-10-04T12:15:00+02:00,6.454,6.467,6.45,6.464
2022-10-04T12:30:00+02:00,6.463,6.466,6.444,6.453
2022-10-04T12:45:00+02:00,6.454,6.459,6.302,6.305
2022-10-04T13:00:00+02:00,6.307,6.379,6.294,6.352
2022-10-04T13:15:00+02:00,6.353,6.383,6.332,6.363
2022-10-04T13:30:00+02:00,6.364,6.419,6.361,6.419
2022-10-04T13:45:00+02:00,6.415,6.453,6.399,6.424
2022-10-04T14:00:00+02:00,6.422,6.532,6.421,6.523
2022-10-04T14:15:00+02:00,6.522,6.537,6.398,6.419
2022-10-04T14:30:00+02:00,6.418,6.456,6.412,6.424
2022-10-04T14:45:00+02:00,6.423,6.424,6.346,6.417
2022-10-04T15:00:00+02:00,6.423,6.48,6.388,6.415
2022-10-04T15:15:00+02:00,6.414,6.586,6.408,6.562
2022-10-04T15:30:00+02:00,6.564,6.609,6.537,6.551
2022-10-04T15:45:00+02:00,6.552,6.614,6.55,6.583
2022-10-04T16:00:00+02:00,6.582,6.672,6.578,6.663
2022-10-04T16:15:00+02:00,6.664,6.696,6.607,6.629
2022-10-04T16:30:00+02:00,6.631,6.697,6.629,6.684
2022-10-04T16:45:00+02:00,6.685,6.713,6.67,6.681
2022-10-04T17:00:00+02:00,6.682,6.686,6.64,6.653
2022-10-04T17:15:00+02:00,6.654,6.701,6.64,6.641
2022-10-04T17:30:00+02:00,6.642,6.666,6.625,6.638
2022-10-04T17:45:00+02:00,6.639,6.681,6.614,6.663
2022-10-04T18:00:00+02:00,6.664,6.732,6.649,6.711
2022-10-04T18:15:00+02:00,6.708,6.729,6.662,6.67
2022-10-04T18:30:00+02:00,6.671,6.822,6.667,6.804
2022-10-04T18:45:00+02:00,6.805,6.834,6.749,6.787
2022-10-04T19:00:00+02:00,6.789,6.853,6.782,6.83
2022-10-04T19:15:00+02:00,6.831,6.841,6.766,6.78
2022-10-04T19:30:00+02:00,6.782,6.817,6.767,6.805
2022-10-04T19:45:00+02:00,6.804,6.82,6.783,6.79
2022-10-04T20:00:00+02:00,6.789,6.832,6.78,6.796
2022-10-04T20:15:00+02:00,6.795,6.827,6.763,6.823
2022-10-04T20:30:00+02:00,6.819,6.827,6.801,6.806
2022-10-04T20:45:00+02:00,6.805,6.812,6.791,6.802
2022-10-04T21:00:00+02:00,6.799,6.807,6.772,6.777
2022-10-04T21:15:00+02:00,6.779,6.788,6.77,6.779
2022-10-04T21:30:00+02:00,6.775,6.785,6.757,6.782
2022-10-04T21:45:00+02:00,6.781,6.792,6.774,6.79
2022-10-04T22:00:00+02:00,6.791,6.806,6.785,6.802
2022-10-04T22:15:00+02:00,6.801,6.823,6.801,6.817
2022-10-04T22:30:00+02:00,6.816,6.821,6.808,6.821
2022-10-04T22:45:00+02:00,6.82,6.821,6.782,6.788
2022-10-05T01:00:00+02:00,6.787,6.79,6.779,6.783
2022-10-05T01:15:00+02:00,6.785,6.786,6.777,6.783
2022-10-05T01:30:00+02:00,6.787,6.787,6.772,6.772
2022-10-05T01:45:00+02:00,6.771,6.788,6.771,6.787
2022-10-05T02:00:00+02:00,6.786,6.788,6.772,6.775
2022-10-05T02:15:00+02:00,6.776,6.779,6.772,6.775
2022-10-05T02:30:00+02:00,6.776,6.777,6.761,6.762
2022-10-05T02:45:00+02:00,6.763,6.763,6.752,6.752
2022-10-05T03:00:00+02:00,6.753,6.769,6.748,6.769
2022-10-05T03:15:00+02:00,6.768,6.771,6.757,6.757
2022-10-05T03:30:00+02:00,6.758,6.763,6.751,6.756
2022-10-05T03:45:00+02:00,6.757,6.758,6.75,6.752
2022-10-05T04:00:00+02:00,6.753,6.763,6.749,6.758
2022-10-05T04:15:00+02:00,6.757,6.771,6.757,6.771
2022-10-05T04:30:00+02:00,6.773,6.778,6.763,6.777
2022-10-05T04:45:00+02:00,6.775,6.775,6.75,6.752
2022-10-05T05:00:00+02:00,6.751,6.753,6.741,6.744
2022-10-05T05:15:00+02:00,6.743,6.744,6.742,6.743
2022-10-05T05:30:00+02:00,6.744,6.755,6.743,6.753
2022-10-05T05:45:00+02:00,6.754,6.759,6.75,6.75
2022-10-05T06:00:00+02:00,6.752,6.752,6.748,6.75
2022-10-05T06:15:00+02:00,6.747,6.756,6.747,6.752
2022-10-05T06:30:00+02:00,6.751,6.751,6.748,6.749
2022-10-05T06:45:00+02:00,6.748,6.752,6.748,6.75
2022-10-05T07:00:00+02:00,6.751,6.755,6.735,6.737
2022-10-05T07:15:00+02:00,6.738,6.743,6.724,6.728
2022-10-05T07:30:00+02:00,6.729,6.732,6.721,6.724
2022-10-05T07:45:00+02:00,6.722,6.734,6.722,6.733
2022-10-05T08:00:00+02:00,6.734,6.734,6.723,6.73
2022-10-05T08:15:00+02:00,6.731,6.731,6.71,6.71
2022-10-05T08:30:00+02:00,6.707,6.714,6.649,6.66
2022-10-05T08:45:00+02:00,6.661,6.669,6.652,6.662
2022-10-05T09:00:00+02:00,6.659,6.669,6.65,6.652
2022-10-05T09:15:00+02:00,6.653,6.663,6.644,6.65
2022-10-05T09:30:00+02:00,6.652,6.684,6.652,6.676
2022-10-05T09:45:00+02:00,6.677,6.699,6.675,6.69
2022-10-05T10:00:00+02:00,6.691,6.694,6.686,6.689
2022-10-05T10:15:00+02:00,6.688,6.689,6.66,6.663
2022-10-05T10:30:00+02:00,6.665,6.701,6.664,6.694
2022-10-05T10:45:00+02:00,6.699,6.705,6.657,6.657
2022-10-05T11:00:00+02:00,6.656,6.676,6.65,6.675
2022-10-05T11:15:00+02:00,6.672,6.682,6.667,6.681
2022-10-05T11:30:00+02:00,6.682,6.707,6.682,6.707
2022-10-05T11:45:00+02:00,6.706,6.73,6.706,6.718
2022-10-05T12:00:00+02:00,6.719,6.745,6.718,6.732
2022-10-05T12:15:00+02:00,6.733,6.735,6.712,6.733
2022-10-05T12:30:00+02:00,6.734,6.824,6.733,6.823
2022-10-05T12:45:00+02:00,6.821,6.824,6.802,6.808
2022-10-05T13:00:00+02:00,6.81,6.816,6.781,6.792
2022-10-05T13:15:00+02:00,6.794,6.809,6.762,6.775
2022-10-05T13:30:00+02:00,6.77,6.775,6.702,6.712
2022-10-05T13:45:00+02:00,6.713,6.748,6.696,6.737
2022-10-05T14:00:00+02:00,6.736,6.737,6.603,6.688
2022-10-05T14:15:00+02:00,6.687,6.722,6.647,6.662
2022-10-05T14:30:00+02:00,6.661,6.714,6.636,6.712
2022-10-05T14:45:00+02:00,6.709,6.994,6.708,6.948
2022-10-05T15:00:00+02:00,6.945,6.963,6.867,6.911
2022-10-05T15:15:00+02:00,6.915,6.947,6.897,6.938
2022-10-05T15:30:00+02:00,6.937,6.939,6.84,6.92
2022-10-05T15:45:00+02:00,6.921,6.959,6.879,6.928
2022-10-05T16:00:00+02:00,6.929,6.942,6.88,6.913
2022-10-05T16:15:00+02:00,6.915,6.917,6.87,6.873
2022-10-05T16:30:00+02:00,6.874,6.917,6.856,6.872
2022-10-05T16:45:00+02:00,6.877,6.904,6.83,6.85
2022-10-05T17:00:00+02:00,6.851,6.887,6.821,6.867
2022-10-05T17:15:00+02:00,6.866,6.903,6.847,6.888
2022-10-05T17:30:00+02:00,6.89,6.937,6.883,6.928
2022-10-05T17:45:00+02:00,6.927,6.938,6.885,6.906
2022-10-05T18:00:00+02:00,6.907,6.919,6.879,6.916
2022-10-05T18:15:00+02:00,6.917,6.931,6.889,6.917
2022-10-05T18:30:00+02:00,6.919,6.956,6.916,6.945
2022-10-05T18:45:00+02:00,6.944,6.95,6.86,6.868
2022-10-05T19:00:00+02:00,6.869,6.893,6.859,6.893
2022-10-05T19:15:00+02:00,6.892,6.908,6.878,6.883
2022-10-05T19:30:00+02:00,6.884,6.919,6.858,6.902
2022-10-05T19:45:00+02:00,6.901,6.913,6.875,6.902
2022-10-05T20:00:00+02:00,6.904,6.935,6.887,6.922
2022-10-05T20:15:00+02:00,6.916,6.942,6.885,6.897
2022-10-05T20:30:00+02:00,6.896,6.912,6.879,6.896
2022-10-05T20:45:00+02:00,6.897,6.915,6.897,6.915
2022-10-05T21:00:00+02:00,6.912,6.925,6.905,6.921
2022-10-05T21:15:00+02:00,6.918,6.92,6.906,6.919
2022-10-05T21:30:00+02:00,6.915,6.924,6.913,6.919
2022-10-05T21:45:00+02:00,6.92,6.934,6.916,6.926
2022-10-05T22:00:00+02:00,6.925,6.935,6.924,6.925
2022-10-05T22:15:00+02:00,6.927,6.929,6.923,6.927
2022-10-05T22:30:00+02:00,6.928,6.931,6.906,6.909
2022-10-05T22:45:00+02:00,6.908,6.911,6.893,6.899
2022-10-06T01:00:00+02:00,6.92,6.923,6.917,6.918
2022-10-06T01:15:00+02:00,6.919,6.927,6.916,6.927
2022-10-06T01:30:00+02:00,6.93,6.93,6.924,6.926
2022-10-06T01:45:00+02:00,6.927,6.936,6.927,6.934
2022-10-06T02:00:00+02:00,6.933,6.935,6.924,6.924
2022-10-06T02:15:00+02:00,6.922,6.947,6.921,6.946
2022-10-06T02:30:00+02:00,6.947,6.956,6.944,6.953
