time,open,high,low,close
2022-06-15T12:00:00+02:00,658.03,658.15,656.48,657.45
2022-06-15T12:15:00+02:00,657.53,657.83,656.23,656.78
2022-06-15T12:30:00+02:00,656.73,657.75,656.48,657.3
2022-06-15T12:45:00+02:00,657.25,657.63,656.78,656.88
2022-06-15T13:00:00+02:00,656.85,657.53,656,657.53
2022-06-15T13:15:00+02:00,657.5,659.38,657.45,659.38
2022-06-15T13:30:00+02:00,659.35,660.25,659.13,659.75
2022-06-15T13:45:00+02:00,659.7,661.2,659.38,661.13
2022-06-15T14:00:00+02:00,661.1,661.78,658.03,658.68
2022-06-15T14:15:00+02:00,658.73,659.23,658.33,658.33
2022-06-15T14:30:00+02:00,658.23,660.38,657.7,660.38
2022-06-15T14:45:00+02:00,660.4,661.18,660.08,661.13
2022-06-15T15:00:00+02:00,661.18,661.58,659.73,661.38
2022-06-15T15:15:00+02:00,661.35,662.58,661.23,662.4
2022-06-15T15:30:00+02:00,662.45,665.08,661.85,664.08
2022-06-15T15:45:00+02:00,664.05,664.68,663.2,663.6
2022-06-15T16:00:00+02:00,663.58,665.1,663.45,664.55
2022-06-15T16:15:00+02:00,664.53,665.13,663.5,664.4
2022-06-15T16:30:00+02:00,664.45,664.58,662.85,662.95
2022-06-15T16:45:00+02:00,662.98,663.5,662.15,663.48
2022-06-15T17:00:00+02:00,663.45,664.05,662.85,662.95
2022-06-15T17:15:00+02:00,662.93,663.2,662.23,662.28
2022-06-15T17:30:00+02:00,662.3,663.58,661.3,662.93
2022-06-15T17:45:00+02:00,662.95,663.68,662.58,663.43
2022-06-15T18:00:00+02:00,663.45,664.28,663.33,664.05
2022-06-15T18:15:00+02:00,664.08,664.55,663.68,664.3
2022-06-15T18:30:00+02:00,664.28,664.78,662.83,663.08
2022-06-15T18:45:00+02:00,663.1,663.23,661.5,661.58
2022-06-15T19:00:00+02:00,661.48,662.45,661.45,662.35
2022-06-15T19:15:00+02:00,662.38,663.45,662.2,663.25
2022-06-15T19:30:00+02:00,663.23,663.43,662.88,663
2022-06-15T19:45:00+02:00,662.98,664.73,661.63,664.38
2022-06-15T20:00:00+02:00,664.35,665.73,659.13,661.03
2022-06-15T20:15:00+02:00,661,662.58,659,659.55
2022-06-15T20:30:00+02:00,659.53,667.38,656.73,666.85
2022-06-15T20:45:00+02:00,666.95,667.9,661.8,663
2022-06-15T21:00:00+02:00,663.03,665.4,663,663.9
2022-06-15T21:15:00+02:00,663.88,667.68,663,667.68
2022-06-15T21:30:00+02:00,667.65,669,665.38,665.55
2022-06-15T21:45:00+02:00,665.5,666.1,663.85,663.93
2022-06-16T09:00:00+02:00,659.08,660.53,656.58,657.15
2022-06-16T09:15:00+02:00,657.13,657.48,652.78,654.13
2022-06-16T09:30:00+02:00,654.1,654.13,648.63,650.48
2022-06-16T09:45:00+02:00,650.53,651.23,648.48,649.58
2022-06-16T10:00:00+02:00,649.55,652.5,649.18,650.68
2022-06-16T10:15:00+02:00,650.7,651.33,649.23,650.15
2022-06-16T10:30:00+02:00,650.18,650.23,647.53,647.73
2022-06-16T10:45:00+02:00,647.7,649.55,645.73,645.73
2022-06-16T11:00:00+02:00,645.58,646.08,643.33,644.08
2022-06-16T11:15:00+02:00,644.03,644.73,642.8,643.83
2022-06-16T11:30:00+02:00,643.8,644.05,641.33,642.05
2022-06-16T11:45:00+02:00,642.03,644.13,641.73,643.88
2022-06-16T12:00:00+02:00,643.83,645.73,642.98,644.75
2022-06-16T12:15:00+02:00,644.78,644.88,642.43,642.5
2022-06-16T12:30:00+02:00,642.48,642.83,641.85,642.3
2022-06-16T12:45:00+02:00,642.25,642.35,640.45,640.58
2022-06-16T13:00:00+02:00,640.5,641.9,640.15,640.28
2022-06-16T13:15:00+02:00,640.23,643.58,639.55,643.23
2022-06-16T13:30:00+02:00,643.25,643.45,640.73,640.9
2022-06-16T13:45:00+02:00,640.93,640.93,639.43,640.43
2022-06-16T14:00:00+02:00,640.4,644.88,640.33,644.15
2022-06-16T14:15:00+02:00,644.1,644.58,642.4,643
2022-06-16T14:30:00+02:00,643.8,644.3,643.1,643.4
2022-06-16T14:45:00+02:00,643.35,643.83,642.53,642.78
2022-06-16T15:00:00+02:00,642.8,643.38,642,642.6
2022-06-16T15:15:00+02:00,642.55,642.9,641,641
2022-06-16T15:30:00+02:00,641.05,642.85,640.25,640.78
2022-06-16T15:45:00+02:00,640.75,642.33,639.58,640.18
2022-06-16T16:00:00+02:00,640.15,640.9,639.28,639.55
2022-06-16T16:15:00+02:00,639.53,641,638.63,640.63
2022-06-16T16:30:00+02:00,640.68,641.18,638.08,638.13
2022-06-16T16:45:00+02:00,638.2,638.3,636.3,637.55
2022-06-16T17:00:00+02:00,637.53,639.83,637.35,639.83
2022-06-16T17:15:00+02:00,639.78,640.8,638.8,639.43
2022-06-16T17:30:00+02:00,639.5,639.78,636.43,637.03
2022-06-16T17:45:00+02:00,637,638.28,636.13,638.28
2022-06-16T18:00:00+02:00,638.25,638.3,635.85,635.93
2022-06-16T18:15:00+02:00,635.9,637.18,635.83,636.78
2022-06-16T18:30:00+02:00,636.8,637.8,635.85,637.53
2022-06-16T18:45:00+02:00,637.55,638.4,636.83,637.53
2022-06-16T19:00:00+02:00,637.58,638.33,636.98,638.03
2022-06-16T19:15:00+02:00,638.05,638.3,636.48,638
2022-06-16T19:30:00+02:00,637.98,638.55,636.1,636.15
2022-06-16T19:45:00+02:00,636.13,636.25,634.28,634.28
2022-06-16T20:00:00+02:00,634.2,634.55,633.03,633.58
2022-06-16T20:15:00+02:00,633.53,633.63,632.8,632.95
2022-06-16T20:30:00+02:00,632.93,633.65,632.23,632.4
2022-06-16T20:45:00+02:00,632.38,632.93,631.23,631.58
2022-06-16T21:00:00+02:00,631.55,634.98,631.5,634
2022-06-16T21:15:00+02:00,633.98,634.73,633.23,634.2
2022-06-16T21:30:00+02:00,634.08,634.48,632.4,632.8
2022-06-16T21:45:00+02:00,632.75,633.7,632.23,632.93
2022-06-17T09:00:00+02:00,638.95,639.45,635.98,636.63
2022-06-17T09:15:00+02:00,636.6,638.88,636.13,638.08
2022-06-17T09:30:00+02:00,638.02,638.02,633.8,635.73
2022-06-17T09:45:00+02:00,635.75,640.93,635.73,640.35
2022-06-17T10:00:00+02:00,640.33,641,639.48,640.63
2022-06-17T10:15:00+02:00,640.57,642.57,639.9,642.52
2022-06-17T10:30:00+02:00,642.55,644.57,642.52,643.82
2022-06-17T10:45:00+02:00,643.7,643.7,640.43,641.18
2022-06-17T11:00:00+02:00,641.15,643.05,640.82,642.93
2022-06-17T11:15:00+02:00,642.9,643.1,641.13,642.13
2022-06-17T11:30:00+02:00,642.18,642.27,639.7,640.07
2022-06-17T11:45:00+02:00,640.1,643.43,639.8,642.93
2022-06-17T12:00:00+02:00,642.88,643.05,641.7,642.63
2022-06-17T12:15:00+02:00,642.57,643.63,642.27,643
2022-06-17T12:30:00+02:00,643.02,645.1,642.82,643.88
2022-06-17T12:45:00+02:00,643.9,645.05,643.02,644.5
2022-06-17T13:00:00+02:00,644.63,644.85,643.65,643.75
2022-06-17T13:15:00+02:00,643.8,645.77,643.57,645.73
2022-06-17T13:30:00+02:00,645.75,645.93,644.5,644.75
2022-06-17T13:45:00+02:00,644.73,644.8,643.73,644.27
