time,open,high,low,close
2022-08-30T01:15:00+02:00,96.791,96.836,96.731,96.746
2022-08-30T01:30:00+02:00,96.746,96.846,96.706,96.786
2022-08-30T01:45:00+02:00,96.781,96.851,96.681,96.796
2022-08-30T02:00:00+02:00,96.806,96.926,96.691,96.761
2022-08-30T02:15:00+02:00,96.756,96.831,96.691,96.776
2022-08-30T02:30:00+02:00,96.781,96.811,96.681,96.741
2022-08-30T02:45:00+02:00,96.736,96.851,96.681,96.711
2022-08-30T03:00:00+02:00,96.681,96.856,96.641,96.671
2022-08-30T03:15:00+02:00,96.661,96.791,96.566,96.711
2022-08-30T03:30:00+02:00,96.726,96.741,96.576,96.656
2022-08-30T03:45:00+02:00,96.631,96.716,96.506,96.636
2022-08-30T04:00:00+02:00,96.651,96.731,96.566,96.706
2022-08-30T04:15:00+02:00,96.681,96.786,96.651,96.716
2022-08-30T04:30:00+02:00,96.701,96.776,96.611,96.751
2022-08-30T04:45:00+02:00,96.736,96.801,96.671,96.721
2022-08-30T05:00:00+02:00,96.711,96.736,96.536,96.566
2022-08-30T05:15:00+02:00,96.571,96.651,96.461,96.631
2022-08-30T05:30:00+02:00,96.636,96.651,96.521,96.586
2022-08-30T05:45:00+02:00,96.591,96.711,96.571,96.676
2022-08-30T06:00:00+02:00,96.671,96.701,96.651,96.661
2022-08-30T06:15:00+02:00,96.656,96.811,96.621,96.761
2022-08-30T06:30:00+02:00,96.746,96.806,96.621,96.691
2022-08-30T06:45:00+02:00,96.661,96.696,96.546,96.581
2022-08-30T07:00:00+02:00,96.596,96.751,96.551,96.726
2022-08-30T07:15:00+02:00,96.751,96.846,96.631,96.791
2022-08-30T07:30:00+02:00,96.796,96.956,96.711,96.871
2022-08-30T07:45:00+02:00,96.876,97.041,96.846,96.966
2022-08-30T08:00:00+02:00,96.971,97.016,96.881,96.901
2022-08-30T08:15:00+02:00,96.901,96.951,96.741,96.771
2022-08-30T08:30:00+02:00,96.756,97.051,96.746,97.026
2022-08-30T08:45:00+02:00,97.021,97.276,96.806,96.816
2022-08-30T09:00:00+02:00,96.811,97.091,96.551,96.956
2022-08-30T09:15:00+02:00,96.961,97.231,96.791,97.161
2022-08-30T09:30:00+02:00,97.141,97.646,97.036,97.451
2022-08-30T09:45:00+02:00,97.471,97.651,97.221,97.261
2022-08-30T10:00:00+02:00,97.271,97.321,96.886,97.096
2022-08-30T10:15:00+02:00,97.081,97.146,96.701,96.751
2022-08-30T10:30:00+02:00,96.736,97.261,96.716,96.936
2022-08-30T10:45:00+02:00,96.916,97.041,96.631,96.776
2022-08-30T11:00:00+02:00,96.791,96.881,95.521,95.591
2022-08-30T11:15:00+02:00,95.606,95.706,95.196,95.401
2022-08-30T11:30:00+02:00,95.406,95.581,95.071,95.206
2022-08-30T11:45:00+02:00,95.191,95.446,95.136,95.316
2022-08-30T12:00:00+02:00,95.321,95.626,95.306,95.391
2022-08-30T12:15:00+02:00,95.376,95.586,95.156,95.286
2022-08-30T12:30:00+02:00,95.271,95.446,94.811,95.171
2022-08-30T12:45:00+02:00,95.191,95.261,94.666,94.746
2022-08-30T13:00:00+02:00,94.731,94.766,93.946,94.431
2022-08-30T13:15:00+02:00,94.421,94.491,94.146,94.321
2022-08-30T13:30:00+02:00,94.321,94.361,93.991,94.226
2022-08-30T13:45:00+02:00,94.221,94.336,93.956,94.131
2022-08-30T14:00:00+02:00,94.131,94.286,93.766,94.256
2022-08-30T14:15:00+02:00,94.251,94.766,94.236,94.646
2022-08-30T14:30:00+02:00,94.636,94.866,94.466,94.666
2022-08-30T14:45:00+02:00,94.651,95.051,94.521,94.801
2022-08-30T15:00:00+02:00,94.796,95.036,93.896,93.941
2022-08-30T15:15:00+02:00,93.941,94.116,93.586,93.896
2022-08-30T15:30:00+02:00,93.916,94.126,93.156,93.306
2022-08-30T15:45:00+02:00,93.321,93.396,92.561,92.896
2022-08-30T16:00:00+02:00,92.891,93.166,92.256,92.486
