time,open,high,low,close
2021-07-28T14:00:00+02:00,3.928,3.969,3.92,3.969
2021-07-28T15:00:00+02:00,3.971,3.996,3.939,3.963
2021-07-28T16:00:00+02:00,3.962,3.986,3.954,3.97
2021-07-28T17:00:00+02:00,3.969,3.976,3.957,3.963
2021-07-28T18:00:00+02:00,3.962,3.997,3.962,3.994
2021-07-28T19:00:00+02:00,3.997,4.004,3.981,4
2021-07-28T20:00:00+02:00,4.001,4.028,3.954,3.958
2021-07-28T21:00:00+02:00,3.955,3.961,3.942,3.948
2021-07-28T22:00:00+02:00,3.949,3.953,3.936,3.937
2021-07-29T01:00:00+02:00,3.945,3.954,3.943,3.952
2021-07-29T02:00:00+02:00,3.953,3.953,3.942,3.947
2021-07-29T03:00:00+02:00,3.946,3.95,3.945,3.948
2021-07-29T04:00:00+02:00,3.947,3.95,3.946,3.95
2021-07-29T05:00:00+02:00,3.947,3.957,3.947,3.953
2021-07-29T06:00:00+02:00,3.954,3.965,3.954,3.964
2021-07-29T07:00:00+02:00,3.963,3.972,3.954,3.955
2021-07-29T08:00:00+02:00,3.956,3.956,3.947,3.954
2021-07-29T09:00:00+02:00,3.956,3.979,3.95,3.958
2021-07-29T10:00:00+02:00,3.957,3.982,3.957,3.958
2021-07-29T11:00:00+02:00,3.957,3.964,3.953,3.956
2021-07-29T12:00:00+02:00,3.955,3.975,3.942,3.974
2021-07-29T13:00:00+02:00,3.977,3.986,3.958,3.96
2021-07-29T14:00:00+02:00,3.962,3.988,3.932,3.974
2021-07-29T15:00:00+02:00,3.975,4.011,3.975,3.991
2021-07-29T16:00:00+02:00,3.992,4.056,3.982,4.046
2021-07-29T17:00:00+02:00,4.044,4.095,4.044,4.081
2021-07-29T18:00:00+02:00,4.082,4.101,4.079,4.087
2021-07-29T19:00:00+02:00,4.088,4.088,4.056,4.061
2021-07-29T20:00:00+02:00,4.062,4.077,4.052,4.056
2021-07-29T21:00:00+02:00,4.053,4.053,4.031,4.048
2021-07-29T22:00:00+02:00,4.047,4.059,4.042,4.054
