time,open,high,low,close
2021-01-18T08:00:00+01:00,650.15,650.77,649.1,649.1
2021-01-18T09:00:00+01:00,649.07,651.27,648.42,649.52
2021-01-18T10:00:00+01:00,649.55,650.63,649.15,649.5
2021-01-18T11:00:00+01:00,649.52,650.38,649.3,649.8
2021-01-18T12:00:00+01:00,649.85,651.38,649.38,649.9
2021-01-18T13:00:00+01:00,649.85,650.65,649.55,649.73
2021-01-18T14:00:00+01:00,649.7,650.9,649.63,650.73
2021-01-18T15:00:00+01:00,650.67,650.82,650.27,650.73
2021-01-18T16:00:00+01:00,650.75,650.85,649.9,650.32
2021-01-18T17:00:00+01:00,650.38,650.98,649.88,650.82
2021-01-18T18:00:00+01:00,650.77,650.88,650.5,650.62
2021-01-18T19:00:00+01:00,650.67,650.77,650.67,650.7
2021-01-18T20:00:00+01:00,650.77,650.95,650.75,650.85
2021-01-18T21:00:00+01:00,650.87,652.05,650.87,651.7
2021-01-19T08:00:00+01:00,653.07,654.13,652.87,653.57
2021-01-19T09:00:00+01:00,653.55,653.95,651.15,651.4
2021-01-19T10:00:00+01:00,651.38,652.75,650.92,652.75
2021-01-19T11:00:00+01:00,652.77,653,651.63,651.98
2021-01-19T12:00:00+01:00,652,652.77,651.85,652.45
2021-01-19T13:00:00+01:00,652.42,652.42,651.52,651.9
2021-01-19T14:00:00+01:00,651.92,652.05,651.13,651.3
2021-01-19T15:00:00+01:00,651.27,651.77,648.8,649.9
2021-01-19T16:00:00+01:00,649.92,652.93,649,651.9
2021-01-19T17:00:00+01:00,651.85,652.4,650.75,651.63
2021-01-19T18:00:00+01:00,651.6,652.67,651.48,652.6
2021-01-19T19:00:00+01:00,652.57,653.85,652.55,653.73
2021-01-19T20:00:00+01:00,653.75,654.1,653.45,654.02
2021-01-19T21:00:00+01:00,654.05,655.07,654.02,654.85
2021-01-20T08:00:00+01:00,656.9,656.98,655.53,655.6
2021-01-20T09:00:00+01:00,655.65,660.38,654.2,657.38
2021-01-20T10:00:00+01:00,657.45,658.03,656.4,657.88
2021-01-20T11:00:00+01:00,657.9,658.73,657.75,658.6
2021-01-20T12:00:00+01:00,658.65,659.13,657.65,657.7
2021-01-20T13:00:00+01:00,657.78,658.4,657.18,657.93
2021-01-20T14:00:00+01:00,657.95,658.88,657.78,658.78
2021-01-20T15:00:00+01:00,658.8,660.6,658.8,659.4
2021-01-20T16:00:00+01:00,659.38,660.9,659.03,659.2
2021-01-20T17:00:00+01:00,659.25,659.88,658.1,659.57
2021-01-20T18:00:00+01:00,659.6,659.85,659.25,659.4
2021-01-20T19:00:00+01:00,659.45,660.45,659.45,659.93
2021-01-20T20:00:00+01:00,659.9,660.57,659.55,660.3
2021-01-20T21:00:00+01:00,660.35,661.55,660.03,661.48
2021-01-21T08:00:00+01:00,661.45,663.3,661.43,663.23
2021-01-21T09:00:00+01:00,663.2,664.6,662.1,663.6
2021-01-21T10:00:00+01:00,663.63,664.93,663.57,664.13
2021-01-21T11:00:00+01:00,664.07,665.68,663.85,665.57
2021-01-21T12:00:00+01:00,665.53,666.43,664.88,666.32
2021-01-21T13:00:00+01:00,666.4,666.5,665.13,665.3
2021-01-21T14:00:00+01:00,665.28,666.05,663.73,664.5
2021-01-21T15:00:00+01:00,664.48,665.4,663.43,663.95
2021-01-21T16:00:00+01:00,664,665.23,663.28,664.65
2021-01-21T17:00:00+01:00,664.6,665.25,663.48,663.95
2021-01-21T18:00:00+01:00,663.98,664,663.05,663.45
2021-01-21T19:00:00+01:00,663.48,664.05,663.28,663.95
2021-01-21T20:00:00+01:00,663.93,664.73,663.93,664.3
2021-01-21T21:00:00+01:00,664.28,664.75,663.53,664.68
2021-01-22T08:00:00+01:00,663.05,663.1,660.43,660.43
2021-01-22T09:00:00+01:00,660.5,660.98,656.78,658.95
2021-01-22T10:00:00+01:00,659.07,659.5,655.97,656.57
2021-01-22T11:00:00+01:00,656.55,657.68,656.32,656.72
2021-01-22T12:00:00+01:00,656.75,657.57,655.6,656.6
2021-01-22T13:00:00+01:00,656.65,657.1,655.95,656.85
2021-01-22T14:00:00+01:00,656.88,657.85,656.22,657.2
2021-01-22T15:00:00+01:00,657.22,660.4,657.18,660.13
2021-01-22T16:00:00+01:00,660.15,660.72,658.8,660.43
2021-01-22T17:00:00+01:00,660.38,661.47,659.7,661.45
2021-01-22T18:00:00+01:00,661.47,661.95,661.13,661.35
2021-01-22T19:00:00+01:00,661.33,662.18,660.85,661.85
2021-01-22T20:00:00+01:00,661.83,662.08,661.53,661.78
2021-01-22T21:00:00+01:00,661.75,661.95,661.08,661.63
2021-01-25T08:00:00+01:00,664.53,667.05,664.53,667.05
2021-01-25T09:00:00+01:00,667,667.65,665.25,665.75
2021-01-25T10:00:00+01:00,665.8,666.08,663.78,664.3
2021-01-25T11:00:00+01:00,664.33,664.7,663.35,664.2
2021-01-25T12:00:00+01:00,664.18,664.3,661.78,662.2
2021-01-25T13:00:00+01:00,662.18,662.35,657.85,658.6
2021-01-25T14:00:00+01:00,658.63,659.25,656.3,658.63
2021-01-25T15:00:00+01:00,658.6,660.15,658.4,659.5
2021-01-25T16:00:00+01:00,659.53,662,657.1,657.2
2021-01-25T17:00:00+01:00,657.15,658.9,654.88,658.75
2021-01-25T18:00:00+01:00,658.72,659.08,656.55,658.72
2021-01-25T19:00:00+01:00,658.7,659.33,658.1,658.78
2021-01-25T20:00:00+01:00,658.83,659.33,658.13,658.9
2021-01-25T21:00:00+01:00,658.88,661.72,658.63,661.58
2021-01-26T08:00:00+01:00,655.53,657.15,655.17,656.55
2021-01-26T09:00:00+01:00,656.78,660.53,655.8,660.2
2021-01-26T10:00:00+01:00,660.25,662.03,660.25,661.1
2021-01-26T11:00:00+01:00,661.13,661.95,659.65,660.45
2021-01-26T12:00:00+01:00,660.35,662.22,660.08,661.5
2021-01-26T13:00:00+01:00,661.53,662.47,661.15,661.85
2021-01-26T14:00:00+01:00,661.83,662.22,660.75,661.08
2021-01-26T15:00:00+01:00,661.1,661.55,658.85,659.38
2021-01-26T16:00:00+01:00,659.4,660.43,659.28,659.85
2021-01-26T17:00:00+01:00,659.9,660.22,657.97,658.38
2021-01-26T18:00:00+01:00,658.4,659.4,658.25,658.7
2021-01-26T19:00:00+01:00,658.72,659.33,658.63,658.65
2021-01-26T20:00:00+01:00,658.63,659.1,658.08,658.45
2021-01-26T21:00:00+01:00,658.43,658.7,656.78,657.08
2021-01-27T08:00:00+01:00,656.95,657.15,655.58,656.2
2021-01-27T09:00:00+01:00,656.1,656.25,651.7,654.75
2021-01-27T10:00:00+01:00,654.7,656.22,654.5,655.08
2021-01-27T11:00:00+01:00,655.05,655.13,652.9,653.2
2021-01-27T12:00:00+01:00,653.22,653.22,649.05,650.9
2021-01-27T13:00:00+01:00,650.85,651.65,647.28,647.45
2021-01-27T14:00:00+01:00,647.38,649.2,645.58,645.95
2021-01-27T15:00:00+01:00,645.98,646.2,641.5,644.05
2021-01-27T16:00:00+01:00,644.08,649.3,643.93,648.93
2021-01-27T17:00:00+01:00,648.95,649.83,646.2,646.4
2021-01-27T18:00:00+01:00,646.38,649.28,646.05,649.15
2021-01-27T19:00:00+01:00,649.13,649.35,647.33,647.5
2021-01-27T20:00:00+01:00,647.4,648.15,643.95,644.58
2021-01-27T21:00:00+01:00,644.6,645.45,641.83,642.05
2021-01-28T08:00:00+01:00,641.15,641.15,637.58,639.28
2021-01-28T09:00:00+01:00,639.2,641.2,634.43,634.7
2021-01-28T10:00:00+01:00,634.8,637.6,633.3,637.4
2021-01-28T11:00:00+01:00,637.43,641.13,636.5,640.35
2021-01-28T12:00:00+01:00,640.28,643.7,639.93,642.3
2021-01-28T13:00:00+01:00,642.28,643.9,642,642.38
2021-01-28T14:00:00+01:00,642.4,646.9,641,646.7
2021-01-28T15:00:00+01:00,646.68,649.75,646.2,647.13
2021-01-28T16:00:00+01:00,647.2,649.93,646.58,648.85
2021-01-28T17:00:00+01:00,648.83,650.15,648.05,650
2021-01-28T18:00:00+01:00,650.05,651.95,650.05,651.4
2021-01-28T19:00:00+01:00,651.38,652.93,650.85,652.93
2021-01-28T20:00:00+01:00,652.9,652.98,651.3,651.8
2021-01-28T21:00:00+01:00,651.68,651.88,650.13,650.25
2021-01-29T08:00:00+01:00,643.6,645.18,641.08,642.4
2021-01-29T09:00:00+01:00,642.33,642.75,637.25,641.6
2021-01-29T10:00:00+01:00,641.58,643.58,640.48,641.73
2021-01-29T11:00:00+01:00,641.75,642.35,640.2,641.78
2021-01-29T12:00:00+01:00,641.75,644.75,641.43,643.6
2021-01-29T13:00:00+01:00,643.65,644.3,641.58,641.8
2021-01-29T14:00:00+01:00,641.9,642.95,638.43,641.45
2021-01-29T15:00:00+01:00,641.43,642.08,638,639.85
2021-01-29T16:00:00+01:00,639.83,643.2,639.15,641.8
2021-01-29T17:00:00+01:00,641.85,642.25,635.83,637.4
2021-01-29T18:00:00+01:00,637.38,637.55,632.28,633.08
2021-01-29T19:00:00+01:00,633.05,635.65,632.23,634.03
2021-01-29T20:00:00+01:00,633.9,635.78,633.83,634.55
2021-01-29T21:00:00+01:00,634.58,637.38,634.58,635.78
2021-02-01T08:00:00+01:00,642.13,643.88,640.92,643.45
2021-02-01T09:00:00+01:00,643.42,645.03,641.75,644.85
2021-02-01T10:00:00+01:00,644.83,646.6,644.33,644.85
2021-02-01T11:00:00+01:00,644.83,646.45,644.8,645.43
2021-02-01T12:00:00+01:00,645.45,648.7,645.45,647.25
2021-02-01T13:00:00+01:00,647.23,647.95,646.88,647
2021-02-01T14:00:00+01:00,647.05,647.43,645.83,645.93
2021-02-01T15:00:00+01:00,645.95,646.83,644.48,645.5
2021-02-01T16:00:00+01:00,645.45,647.45,644.78,646.3
2021-02-01T17:00:00+01:00,646.2,648.4,645.7,646.9
2021-02-01T18:00:00+01:00,646.95,648.48,646.95,648.45
2021-02-01T19:00:00+01:00,648.48,648.93,647.85,648.6
2021-02-01T20:00:00+01:00,648.63,649.78,648.28,649.4
2021-02-01T21:00:00+01:00,649.48,650.15,649.23,649.93
2021-02-02T08:00:00+01:00,651.98,653.15,651.65,653.03
2021-02-02T09:00:00+01:00,652.98,653.63,650.78,651.73
2021-02-02T10:00:00+01:00,651.75,654.13,651.58,653.7
2021-02-02T11:00:00+01:00,653.73,653.98,652.15,652.55
2021-02-02T12:00:00+01:00,652.53,653.1,650.55,650.55
2021-02-02T13:00:00+01:00,650.6,651.98,650.53,651.73
2021-02-02T14:00:00+01:00,651.78,653.35,651.75,652.9
2021-02-02T15:00:00+01:00,652.85,654.3,652.45,653.38
2021-02-02T16:00:00+01:00,653.43,654.15,652.38,653.28
2021-02-02T17:00:00+01:00,653.25,654,652.18,653.6
2021-02-02T18:00:00+01:00,653.55,654.63,653.45,654.63
2021-02-02T19:00:00+01:00,654.65,654.65,653.78,654.1
2021-02-02T20:00:00+01:00,654.13,654.55,653.85,654.5
2021-02-02T21:00:00+01:00,654.48,655.55,654.23,655.15
2021-02-03T08:00:00+01:00,656.25,658.48,656,658.38
2021-02-03T09:00:00+01:00,658.4,659.2,656.08,656.1
2021-02-03T10:00:00+01:00,656.13,656.25,654.25,655.75
2021-02-03T11:00:00+01:00,655.73,656.33,655.15,656.15
2021-02-03T12:00:00+01:00,656.1,656.5,654.73,655.2
2021-02-03T13:00:00+01:00,655.23,655.25,653.3,653.85
2021-02-03T14:00:00+01:00,653.83,654.43,653.5,654.38
2021-02-03T15:00:00+01:00,654.35,654.48,652.35,652.85
2021-02-03T16:00:00+01:00,653,654.6,651.2,654.35
2021-02-03T17:00:00+01:00,654.4,655.48,653.6,655.25
2021-02-03T18:00:00+01:00,655.28,655.3,653.88,654.4
2021-02-03T19:00:00+01:00,654.38,655.28,654.17,655.28
2021-02-03T20:00:00+01:00,655.25,655.53,654.9,654.98
